id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Garden,Tunnel Verse,hip-hop,defiant,0.78,92,0.42,0.85,0.12
12,Late Bus Freestyle,Tunnel Verse,hip-hop,happy,0.66,88,0.74,0.81,0.24
13,Grandmother's Hands,Rosalie Wren,folk,nostalgic,0.33,96,0.38,0.30,0.94
14,Dust and Diesel,Hollis Ray,folk,hopeful,0.61,104,0.66,0.52,0.79
15,Saltwater Vows,Amaya Cruz,r&b,romantic,0.45,68,0.72,0.66,0.44
16,Slow Burn Letter,Amaya Cruz,r&b,melancholy,0.38,72,0.29,0.55,0.21
17,Iron Verdict,Ashfall Kin,metal,angry,0.97,88,0.15,0.32,0.04
18,Fever Bloom,Solaris Kite,house,euphoric,0.88,126,0.91,0.94,0.07
19,Static Prayer,Null Chapel,techno,tense,0.71,140,0.22,0.79,0.03
20,Nocturne in Grey,Elena Vasari,classical,melancholy,0.22,58,0.31,0.11,0.97
